username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink,,,,,,,,,
"StefGarcia8;2013-04-28 18:57;0;0;""Going to go to sleep early."";Baltimore"," MD;;;""328689415687913474"";https://twitter.com/StefGarcia8/status/328689415687913474",,,,,,,,
"TangyCANTDance_;2013-04-28 18:57;0;0;""@Reachin_4_Starz mmmm asshole lls"";Baltimore"," MD;@Reachin_4_Starz;;""328689374030090241"";https://twitter.com/TangyCANTDance_/status/328689374030090241",,,,,,,,
"loryonce;2013-04-28 18:57;0;0;""She really a dike yo"";Baltimore"," MD;;;""328689358016225282"";https://twitter.com/loryonce/status/328689358016225282",,,,,,,,
"no__lies__;2013-04-28 18:57;0;0;""@MadsenAlexa cracker *looks around* polly want a cracker :)"";Catonsville"," MD;@MadsenAlexa;;""328689351477301248"";https://twitter.com/no__lies__/status/328689351477301248",,,,,,,,
"StefGarcia8;2013-04-28 18:57;0;0;""Tired af >_<"";Baltimore"," MD;;;""328689341201264640"";https://twitter.com/StefGarcia8/status/328689341201264640",,,,,,,,
"ATruszkowski;2013-04-28 18:56;0;0;""I hate brownies."";Dundalk"," MD;;;""328689334838521856"";https://twitter.com/ATruszkowski/status/328689334838521856",,,,,,,,
"juicyy_jojo;2013-04-28 18:56;1;0;""â€œ@_teamlulu_bitch: @Juicyy_jojo can I have a s/o on ig ? lolâ€ùtagg me in a pic u want me use"";Essex"," MD;@_teamlulu_bitch @Juicyy_jojo;;""328689314970095616"";https://twitter.com/juicyy_jojo/status/328689314970095616",,,,,,,,
"RageingBigRed;2013-04-28 18:56;0;0;""i need to stop stressing over something i can't change"";Dundalk"," MD;;;""328689288587923456"";https://twitter.com/RageingBigRed/status/328689288587923456",,,,,,,,
"_GrapeJelly;2013-04-28 18:56;0;0;""To this stye is really Fuccn me up tho."";Baltimore"," MD;;;""328689266731393025"";https://twitter.com/_GrapeJelly/status/328689266731393025",,,,,,,,
"ForJennerations;2013-04-28 18:56;3;0;""She's what you want"," I'm what you need."";Dundalk"," MD;;;""328689221101551619"";https://twitter.com/ForJennerations/status/328689221101551619",,,,,,,
"Tyfrenzy_;2013-04-28 18:56;0;0;""Cant wait to get this audi"";Lochearn"," MD;;;""328689209374298114"";https://twitter.com/Tyfrenzy_/status/328689209374298114",,,,,,,,
"ConnorGwin;2013-04-28 18:56;0;0;""@SK8RB0iK8 send it for 10 seconds! I'm slow..."";Maryland"," USA;@SK8RB0iK8;;""328689171717840896"";https://twitter.com/ConnorGwin/status/328689171717840896",,,,,,,,
"osantossopena;2013-04-28 18:56;0;0;""Caperucita"," doctora en Manhattan: http:// elpais.com/cultura/2013/0 4/28/actualidad/1367176021_201983.html â€_"";Rosedale"," MD;;;""328689162704265216"";https://twitter.com/osantossopena/status/328689162704265216",,,,,,,
"ZachGosser;2013-04-28 18:56;0;0;""@RickyyRozayyy whys he doing pills"";Dundalk"," MD;@RickyyRozayyy;;""328689154798010370"";https://twitter.com/ZachGosser/status/328689154798010370",,,,,,,,
"Savage_GrayHulk;2013-04-28 18:56;0;0;""Nba season is over for me! All i know is dwight better not demand no giant contract from #lakernation"";Severn"," MD;;#lakernation;""328689134086545410"";https://twitter.com/Savage_GrayHulk/status/328689134086545410",,,,,,,,
"carinanickole;2013-04-28 18:56;0;0;""I just want one person to not bullshit me. I want to know there's still trustworthy people out there."";Savage-Guilford"," MD;;;""328689119096090627"";https://twitter.com/carinanickole/status/328689119096090627",,,,,,,,
"Iam_Pope;2013-04-28 18:56;0;0;""But it is quite interesting"";Owings Mills"," MD;;;""328689110451646464"";https://twitter.com/Iam_Pope/status/328689110451646464",,,,,,,,
"RageingBigRed;2013-04-28 18:56;0;0;""You deserve someone who knows how to make things up to you after hurting you. Not someone who is very good with just the word"," ""sorry."";Dundalk"," MD;;;""328689109881192448"";https://twitter.com/RageingBigRed/status/328689109881192448",,,,,,,
"StefGarcia8;2013-04-28 18:56;0;0;""What i was telling my bro.."";Baltimore"," MD;;;""328689101593247745"";https://twitter.com/StefGarcia8/status/328689101593247745",,,,,,,,
"Mzexoticbeauti;2013-04-28 18:55;0;0;""What a day!!!"";Maryland"," USA;;;""328689077677330433"";https://twitter.com/Mzexoticbeauti/status/328689077677330433",,,,,,,,
"loryonce;2013-04-28 18:55;0;0;""My mother said my booty look good "," dike ass ."";Baltimore"," MD;;;""328689077253701632"";https://twitter.com/loryonce/status/328689077253701632",,,,,,,
"_GrapeJelly;2013-04-28 18:55;0;0;""@Young_Uni be resourceful my friend."";Baltimore"," MD;@Young_Uni;;""328689071956303872"";https://twitter.com/_GrapeJelly/status/328689071956303872",,,,,,,,
"StefGarcia8;2013-04-28 18:55;0;0;""Lmfao /.\"";Baltimore"," MD;;;""328689061931913216"";https://twitter.com/StefGarcia8/status/328689061931913216",,,,,,,,
"Tyfrenzy_;2013-04-28 18:55;1;0;""@catchifyou_KEN ant do tf lls"";Lochearn"," MD;@catchifyou_KEN;;""328689057578246144"";https://twitter.com/Tyfrenzy_/status/328689057578246144",,,,,,,,
"Gundiiiiiiiii;2013-04-28 18:55;0;0;""GIRL YOU ARE IRRELEVANT UNLESS YOU CALI ACES"";South Gate"," MD;;;""328689038775177216"";https://twitter.com/Gundiiiiiiiii/status/328689038775177216",,,,,,,,
"sheikhkdukuly2;2013-04-28 18:55;0;0;""@LiberianHottie1 That whats up. Glad to hear that. .."";Rossville"," MD;@LiberianHottie1;;""328689027693813760"";https://twitter.com/sheikhkdukuly2/status/328689027693813760",,,,,,,,
"RageingBigRed;2013-04-28 18:55;0;0;"": I don't open my heart up to just anybody"";Dundalk"," MD;;;""328689015492591619"";https://twitter.com/RageingBigRed/status/328689015492591619",,,,,,,,
"So_Icy_Shach;2013-04-28 18:55;0;0;""We gon come bacc strong nxt season #LakerNation"";Baltimore"," MD;;#LakerNation;""328688996928585728"";https://twitter.com/So_Icy_Shach/status/328688996928585728",,,,,,,,
"TylerSperry;2013-04-28 18:55;0;0;""@ImTomBurgundy it's really expensive"";Dundalk"," MD;@ImTomBurgundy;;""328688986895810560"";https://twitter.com/TylerSperry/status/328688986895810560",,,,,,,,
"GreatScottathin;2013-04-28 18:55;0;0;""That concert was the best I've ever been to. It was so live!!!"";Towson"," MD;;;""328688982349209600"";https://twitter.com/GreatScottathin/status/328688982349209600",,,,,,,,
"Iam_Pope;2013-04-28 18:55;0;0;""This make castaway show is weird as shit"";Owings Mills"," MD;;;""328688920244150273"";https://twitter.com/Iam_Pope/status/328688920244150273",,,,,,,,
"meanstroke31;2013-04-28 18:55;0;1;""Snap chat is so funny"";Glen Burnie"," MD;;;""328688911796797441"";https://twitter.com/meanstroke31/status/328688911796797441",,,,,,,,
"Tyler_Grammer;2013-04-28 18:55;0;0;""Night Twitter"";Edgemere"," MD;;;""328688846520860672"";https://twitter.com/Tyler_Grammer/status/328688846520860672",,,,,,,,
"LAMB_orghiniii;2013-04-28 18:55;1;0;""â€œ @YM_CNB : This being sick shit has GOT to go â€ù dude you've been sick for like a month now lol"";Dundalk"," MD;@YM_CNB;;""328688841416392705"";https://twitter.com/LAMB_orghiniii/status/328688841416392705",,,,,,,,
"scharf97;2013-04-28 18:54;0;0;""@Here4DaBeer @danputz @manyadvofmother Thursday happy hour @AlehouseCol for Stone pint night. I'm in. Who else?"";Elkridge"," MD;@Here4DaBeer @danputz @manyadvofmother @AlehouseCol;;""328688835032666112"";https://twitter.com/scharf97/status/328688835032666112",,,,,,,,
"Gfidel7;2013-04-28 18:54;0;2;"""" @_WilkyWay : Every morning i wake up and praise jesus/allah/cheese that i am one of the blessed few followed by @suomonev "" I feelz u on dat"";Ellicott City"," MD;@_WilkyWay @suomonev;;""328688835015876610"";https://twitter.com/Gfidel7/status/328688835015876610",,,,,,,,
"ConnorGwin;2013-04-28 18:54;0;0;""@SK8RB0iK8 thinks she's funny by not giving me the whole number"";Maryland"," USA;@SK8RB0iK8;;""328688832625127425"";https://twitter.com/ConnorGwin/status/328688832625127425",,,,,,,,
"TeeATeeWhyAInA;2013-04-28 18:54;0;0;""@BriShortAss_ GoodNight Stink A.K.A Squishy"";Bowleys Quarters"," MD;@BriShortAss_;;""328688807744503808"";https://twitter.com/TeeATeeWhyAInA/status/328688807744503808",,,,,,,,
"LAMB_orghiniii;2013-04-28 18:54;1;1;""â€œ@Brittany_x14: Its hard starting over and finding a new shoulder to lean on.â€ù"";Dundalk"," MD;@Brittany_x14;;""328688762500546560"";https://twitter.com/LAMB_orghiniii/status/328688762500546560",,,,,,,,
"Gundiiiiiiiii;2013-04-28 18:54;3;0;""Question.. What's with all the full top uniforms?"";South Gate"," MD;;;""328688761359695872"";https://twitter.com/Gundiiiiiiiii/status/328688761359695872",,,,,,,,
"_lilxhk;2013-04-28 18:54;0;0;""I think the Warriors are going to win the series in seven games."";Owings Mills"," MD;;;""328688754535567360"";https://twitter.com/_lilxhk/status/328688754535567360",,,,,,,,
"Tyfrenzy_;2013-04-28 18:54;0;0;""Iwant mayweather money now thats bread"";Lochearn"," MD;;;""328688711615266816"";https://twitter.com/Tyfrenzy_/status/328688711615266816",,,,,,,,
"shannonnscott;2013-04-28 18:54;0;0;""Don't you worry your pretty little mind"," people throw rocks at things that shine"";Carney"," MD;;;""328688661124231169"";https://twitter.com/shannonnscott/status/328688661124231169",,,,,,,
"Alyssa_123;2013-04-28 18:54;0;1;""I'm on a Drake and Wiz kick right nowww"";Riviera Beach"," MD;;;""328688647241093120"";https://twitter.com/Alyssa_123/status/328688647241093120",,,,,,,,
"no__lies__;2013-04-28 18:54;0;0;""@MadsenAlexa yesss :) lol"";Catonsville"," MD;@MadsenAlexa;;""328688621437734912"";https://twitter.com/no__lies__/status/328688621437734912",,,,,,,,
"_lilxhk;2013-04-28 18:54;0;0;""This is one good ass series."";Owings Mills"," MD;;;""328688589774925825"";https://twitter.com/_lilxhk/status/328688589774925825",,,,,,,,
"Tyler_Grammer;2013-04-28 18:54;0;0;""Bruce Almighty Is A Emotional Ass Movie"";Edgemere"," MD;;;""328688589531652096"";https://twitter.com/Tyler_Grammer/status/328688589531652096",,,,,,,,
"LooneyMal;2013-04-28 18:54;0;0;""All them girls who came in my life and den left"";Baltimore"," MD;;;""328688588478885889"";https://twitter.com/LooneyMal/status/328688588478885889",,,,,,,,
"TheBigFiz21;2013-04-28 18:53;0;0;""#TeamDwight until he makes his decision"";Randallstown"," MD;;#TeamDwight;""328688573173874688"";https://twitter.com/TheBigFiz21/status/328688573173874688",,,,,,,,
